data_type	code	name	short_name	extra1	extra2	create_by	create_time
MATERIAL	102-R00-3614-G12-0800	102-R00-3614-G12-0800				system-auto-sync	2026-03-30 17:53:33
MATERIAL	102-R00-5015-Y01-0300	102-R00-5015-Y01-0300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	102-TE50-5015-Y01-0300	102-TE50-5015-Y01-0300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	103-R00-2505-T01-0002	103-R00-2505-T01-0002				system-auto-sync	2026-03-30 17:53:33
MATERIAL	103-R00-4508-T01-0030	103-R00-4508-T01-0030				system-auto-sync	2026-03-30 17:53:33
MATERIAL	103-R00-5005-B01-0030	103-R00-5005-B01-0030				system-auto-sync	2026-03-30 17:53:33
MATERIAL	103-R00-85-T01-0015	103-R00-85-T01-0015				system-auto-sync	2026-03-30 17:53:33
MATERIAL	103-WW-50-B01-0020	103-WW-50-B01-0020				system-auto-sync	2026-03-30 17:53:33
MATERIAL	103-WW-55-T01-0015	103-WW-55-T01-0015				system-auto-sync	2026-03-30 17:53:33
MATERIAL	103-WW-85-T01-0015	103-WW-85-T01-0015				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R015-2505-C03-0400鐟炴郸鏂欏彿锛圧D-XTB-G0000103-0000锛?201-R015-2505-C03-0400鐟炴郸鏂欏彿锛圧D-XTB-G0000103-0000锛?			system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R015-2525-C03-0500聽聽	201-R015-2525-C03-0500聽聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R015-2525-C03-0500A	201-R015-2525-C03-0500A				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R015-5030-C03-0800	201-R015-5030-C03-0800				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R015-5050-C03-0800	201-R015-5050-C03-0800				system-auto-sync	2026-03-30 17:53:33
MATERIAL	201-R02-2510-C03-0550	201-R02-2510-C03-0550				system-auto-sync	2026-03-30 17:53:33
